,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,p,o,i,j,#,#,#,p,p,o,p,#,j,#,#,#,j,,#,#,#,#,#,j,#,#,#,#,j,#,#,#,#,#,#,
,,,,,,,,,,,,,,,,,,#,,,,,p,#,,,,#,#,,,,,,,#,
,#,#,#,#,#,#,,#,j,#,#,#,#,a,#,#,,#,,,,,#,#,,,,#,#,,,,,,,#,
,#,,,,,f>,,#,,,#,,,,,#,,#,,,,,,,,,,p,o,,,,,,,#,
,#,,,,,#,,f,,,#,,,,,#,,#,,,,,,,,,,#,#,,,,,,,#,
,#,,,,,#,,#,,,#,,#,#,j,#,,,,,,,,,,,,,,,,,,,,#,
,#,#,j=,d,#,#,,#,,,#,,j,,,,#,,,,,,,,,,,,,,,,,,,#,
,,,,,,,,,,,#,,#,#,#,f,#,,,,,,,,,,,,,,,,,,,#,
,#,#,#,#,j,#,,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,#,
,,#,,,,#,,,,,j,,,,,,,#,#,#,,,,,,,,,,,,,,,,#,
,,#,,,,#,,,,,#,,,,,,,#,,#,,,,,,,,,,,j,,,,,#,
,,#,,,,#,,,,,f,o,p,o,p,#,,#,,#,,,,,,,,,,,#,,,,,#,
,,#,,,,#,,,,,,,,,,,,#,,#,,,,,,,,,,,#,,,,,#,
,,#,,,,#,,,,,,,,,,,,#,,,,,,,,,,,,,#,,f,#,,#,
,,#,,,,#,,,,,,,,,,,,#,,,,,,,,,,,,,#,,,#,,#,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,p,j,#,#,o,p,j,#,#,o,#,#,,#,,#,
,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,#,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,#,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
