,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,j=,#,#,#,j>,p,o,s,#,#,p,o,#,#,#,#,#,#,#,#,j,f,#,#,#,#,#,#,#,#,#,p,j,#,#,#,#,#,#,#,
,,,,,,,,,,#,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,#,
,i,,,,,,,,,j,,,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,#,
,#,i,#,#,,,,,,,,,,#,,j,,,,,,,,,,,,,,,,,,,,,,#,,,#,
,#,#,#,#,,,,,,,,,,#,,#,,,,,,,,,,#,#,,,,,,,,,,,j,,,p,
,j,,,,,,,,,,,,,#,,#,,,,,,,,,,j=,#,,,,,,,,,,,a,,,j,
,#,,,,,,,,,,,,,,,j,,,,,,,,,,#,#,j,,,,,,,,,,#,,,,
,#,,,,,,,,,,,,,,,d,,,,,,,,,,j,,,,,,,,,,,,#,,,,
,#,#,#,#,#,#,#,#,#,#,j,#,#,#,#,#,#,#,#,#,#,#,#,#,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,#,,,,#,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,#,,,,f>,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,#,,,,#,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,f,,#,,#,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,#,,#,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,#,,j<,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,#,,,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,j,,,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,#,,#,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,#,,j,,#,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,#,,#,,j,,,,,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,#,,i,,#,,,f,#,,,,,,,,#,,,,
,,,,,,,,,,,,,,,,#,,,,,,#,,j,,#,,,,#,,j,#,#,#,a,f,#,,,,
,,,,,,,,,,,,,,,,#,#,#,#,#,#,#,#,#,,#,#,#,#,#,,,,,,,#,#,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,#,#,#,#,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
