,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,i,p,o,f,#,#,#,#,#,#,#,#,#,j,#,#,#,#,#,#,f>,#,o,#,j,#,j,#,#,#,#,#,#,#,#,#,#,#,#,#,,
,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,#,,,,,,,,#,,
,,,,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,#,,,,,,,,#,,
,,,,,,,,,,#,j,,#,,,,,,,,#,#,j,p,j,#,#,,,,,,#,,,,,,,,#,,
,#,#,#,#,#,#,#,,,#,,,#,,,,,,,,o,,,,,,#,,,,,,#,,,,,,,,#,,
,#,,,,,,d,,,#,,,#,,,#,,,,,j,,,,,,#,,,,,,#,,,,,,,,#,,
,#,,,,,,f>,,,#,,,#,,,p,,,,,#,,,,,,#,,,,,,#,,,,,,,,#,,
,#,,,,,,#,,,#,,,#,,,o,,,,,#,,,,,,#,,,,,,p,,,,,,,,#,,
,#,,,,,,#,j,,#,,,#,,,j,,,,,#,,,,,,#,,,,,,#,,,,,,,,#,,
,#,,,,,,j>,,,#,,,#,,,#,,f,#,,#,,,,,,#,,,,,,,,,,,,,,#,,
,#,,,,,,d,,,#,,,#,#,#,#,#,#,#,,#,,,,,,#,,,,,,,,,,,,,,#,,
,#,,,,,,#,,,#,,,,,,,,,,,#,,,,,,#,,,,,,,,,,,,,,#,,
,#,,,,,,#,,,,,,,,,,,,,,f,#,,,,f,#,,,,,,,,,,,,,,#,,
,#,,,,,,#,,,,,,,,,,,,,,j,#,,,,#,#,,,,,,,#,,,,,,,#,,
,#,,,,,,#,,,,,,,,,,,,,,#,#,,,,,#,,,,#,j,,#,,,#,#,#,,#,,
,#,,,,,,#,#,#,#,#,,,,,,,,,,,,,,,,,,,,#,,,#,,,f,,,,#,,
,#,,,,,,#,o,j,,#,,,,,,,,,,,,,,,,,,,,#,,j,#,,,#,,,,j,,
,#,,,,,,,,,,#,,,,,,,,,,,,,,,,,,,,#,,,#,,,#,,,,,,
,#,,,,,,,,,,#,#,#,#,#,#,#,#,#,#,#,o,#,j,#,#,#,#,j,,#,#,#,#,,,p,,,,,#,
,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,j,,,,,#,
,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,#,,,,,#,
,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,#,,f,#,,#,
,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,#,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
